Id,Y,Category
0,5.85981077945679,1
1,1.5137096134170822,0
2,1.0877188753018912,0
3,8.283807072265173,1
4,5.965089542904103,0
5,3.2735372165537067,0
6,1.2571789272781335,0
7,6.8868882206182285,1
8,8.29067372613584,1
9,6.907798192826823,1
10,4.05279984126632,1
11,17.169067515668928,1
12,1.8637416943136782,1
13,1.78016488485603,0
14,6.969936926828335,1
15,2.9294279889917814,0
16,7.425623055574329,1
17,6.792344521109774,1
18,5.660470172541183,1
19,5.593783834013274,0
20,1.302822260287622,1
21,9.624860213505528,1
22,0.6823982986338629,0
23,1.189385326452649,1
24,3.5334235153088542,1
25,5.416014436156342,1
26,1.7394468091736575,0
27,2.3008909258449233,0
28,2.5244991881652923,1
29,6.431745555709018,0
30,3.739824575182252,0
31,5.730633193649225,1
32,0.5270224293885791,1
33,8.553728195732447,1
34,5.028722731384875,1
35,8.902774505794001,0
36,7.343324149853955,0
37,4.771600816683156,0
38,9.862524327848313,1
39,9.513131106594937,1
40,5.3007610548958395,0
41,4.100708812262193,1
42,24.395405964196584,1
43,6.5279448879674895,1
44,1.1990612250685992,0
45,4.944682139541412,1
46,3.52999267829954,0
47,3.995326860299849,1
48,1.0620467835159382,0
49,1.2373378214840693,0
50,1.575447742773107,0
51,0.954885786122151,0
52,8.478134444082652,0
53,5.916667967991383,1
54,3.04081642699312,0
55,3.0148716575828587,0
56,3.082844737719684,0
57,11.600907838898815,1
58,0.9926545278269752,0
59,6.614189844980713,1
60,6.79609359689055,1
61,12.467630506528382,1
62,2.180664844569828,0
63,6.855771309678394,1
64,7.320647281145198,1
65,0.4275911567798518,0
66,7.928602173938937,0
67,2.718782319491679,0
68,1.3667611929121546,0
69,5.800843021993858,0
70,6.465351402849286,0
71,2.726251844784489,0
72,2.3245987150602403,0
73,4.763444382746147,0
74,6.556003591905117,0
75,0.7540209204392287,0
76,6.194111464179157,0
77,1.072091338851859,0
78,2.1440803693111845,1
79,2.7405845030044027,1
80,2.0799377809890554,0
81,6.346152922704922,1
82,5.306098914304522,1
83,2.9800629508232723,1
84,1.598141283078657,1
85,7.224993612964216,1
86,17.7825431398323,0
87,3.3974538082618633,1
88,7.5370064043348926,1
89,7.3286682387011215,1
90,10.204170745564161,1
91,1.5599909714051872,0
92,3.8890060520842735,0
93,2.6775136704429077,0
94,3.090486724148341,1
95,2.804533620551901,0
96,1.3828522966877257,0
97,6.770440968869337,1
98,6.6190310207335985,1
99,0.6186285541674396,0
